NRO	ANIO	TIPO	ORIGEN	CARATULA	MESA	DAE	AUTOR	COM1	COM2	COM3	COM4	COM5
958	2024	PL	S	MOISES Y OTROS: PROYECTO DE LEY QUE MODIFICA SUS SIMILARES 19.550 -SOCIEDADES COMERCIALES-, 19.836 -FUNDACIONES-, Y 24.057 -ASOCIACIONES CIVILES-  SOBRE DIVERSIDAD DE GENERO.	30/05/2024	48/2024	MOISES, MARÍA CAROLINA	DE LEGISLACIÓN GENERAL	BANCA DE LA MUJER			
957	2024	PL	S	"MOISES Y OTROS: PROYECTO DE LEY QUE CREA LA ""COMISIÓN BICAMERAL PERMANENTE FRENTE PARLAMENTARIO CONTRA EL HAMBRE""."	30/05/2024	48/2024	MOISES, MARÍA CAROLINA	DE ASUNTOS CONSTITUCIONALES	DE PRESUPUESTO Y HACIENDA			
956	2024	PC	S	PILATTI VERGARA: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS VINCULADOS A LA EDICIÓN 2024 DE LOS JUEGOS NACIONALES EVITA.	30/05/2024	47/2024		DE DEPORTE				
954	2024	PD	S	"FAMA: PROYECTO DE DECLARACION QUE DECLARA DE INTERES LA FIESTA PROVINCIAL ""ACEVEDO VIVE LA FIESTA DE LA ESTACA"" EN LA LOC. DE ACEVEDO, PROV. DE BS AS."	30/05/2024	47/2024	FAMA, FLAVIO SERGIO	DE EDUCACIÓN Y CULTURA				
953	2024	PD	S	"FAMA: PROYECTO DE DECLARACION QUE DECLARA DE INTERES LA ""FIESTA DE YACOGASTA, EN LA CDAD. DE SAN PEDRO, CAPAYÁN, PROV. DE CATAMARCA"", EL 25 DE MAYO DE CADA AÑO."	30/05/2024	47/2024	FAMA, FLAVIO SERGIO	DE EDUCACIÓN Y CULTURA				
952	2024	PD	S	ARRASCAETA: PROYECTO DE DECLARACION QUE DECLARA DE INTERES EL XLI CONGRESO NACIONAL DE CARDIOLOGIA, A REALIZARSE EN LA CDAD. DE ROSARIO, PROV. DE SANTA FE, DEL 30 DE MAYO AL 1 DE JUNIO DE 2024.	30/05/2024	47/2024	ARRASCAETA, IVANNA MARCELA	DE SALUD				
951	2024	PD	S	DURE: PROYECTO DE DECLARACION QUE ADHIERE A LA CONMEMORACION DEL DIA MUNDIAL DEL LUPUS, EL 10 DE MAYO DE CADA AÑO.	30/05/2024	47/2024		DE SALUD				
949	2024	PC	S	GARCIA LARRABURU Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE LOS MECANISMOS DE CONTRATACION DE FUNCIONARIOS DEL MINISTERIO DE CAPITAL HUMANO.	30/05/2024	47/2024	MOISES, MARÍA CAROLINA	DE POBLACIÓN Y DESARROLLO  HUMANO				
948	2024	PD	S	GIMENEZ Y OTROS: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO AL CUMPLIRSE 2 AÑOS DE LA SENTENCIA EN EL JUICIO POR LA VERDAD POR LA MASACRE DE NAPALPI.	30/05/2024	47/2024		DE EDUCACIÓN Y CULTURA				
947	2024	PC	S	MENDOZA Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA SE HAGA LLEGAR LAS PRESTACIONES ALIMENTARIAS DIRIGIDAS A LOS SECTORES MAS VULNERABLES Y OTRAS CUESTIONES CONEXAS.	30/05/2024	47/2024	MENDOZA, SANDRA MARIELA	DE POBLACIÓN Y DESARROLLO  HUMANO				
946	2024	PC	S	LINARES Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA SE DECLARE LA EMERGENCIA NACIONAL DE SEGURIDAD VIAL Y SE REALICEN LAS OBRAS NECESARIAS PARA EL TRAMO DE LA RUTA NACIONAL Nº 3 UBICADO EN LA LADERA SUR DEL CERRO PUNTA PELIGRO DE LA COMUNA CAÑADON SECO, PROV. DE SANTA CRUZ.	30/05/2024	47/2024	LINARES, CARLOS ALBERTO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
945	2024	PD	S	"AVILA: PROYECTO DE DECLARACION QUE ADHIERE AL 9º ANIVERSARIO DE LA MOVILIZACION BAJO EL LEMA ""NI UNA MENOS"", EL 3 DE JUNIO DE 2024."	30/05/2024	47/2024	AVILA, BEATRIZ LUISA	BANCA DE LA MUJER	BANCA DE LA MUJER			
944	2024	PD	S	"AVILA: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERÉS AL ""CONGRESO INTERNACIONAL DE SIMULACIÓN EN SALUD Y II SIMPOSIO INTERNACIONAL DE OPERACIONES EN SIMULACIÓN EN SALUD"", A REALIZARSE EN EL AUDITORIO SAN AGUSTÍN, CDAD. DE BS. AS.  DEL 30 DE MAYO AL 1 DE JUNIO DE 2024."	29/05/2024	47/2024	AVILA, BEATRIZ LUISA	DE SALUD				
942	2024	PD	S	"AVILA: PROYECTO DE DECLARACIÓN QUE ADHIERE A LA CONMEMORACIÓN DEL ""DIA MUNDIAL CONTRA EL TRABAJO INFANTIL, EL 12 DE JUNIO DE CADA AÑO."	29/05/2024	47/2024	AVILA, BEATRIZ LUISA	DE POBLACIÓN Y DESARROLLO  HUMANO				
941	2024	PD	S	"AVILA: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERÉS LA CELEBRACIÓN DEL ""DIA NACIONAL DEL BOMBERO VOLUNTARIO ARGENTINO"", EL 2 DE JUNIO DE CADA AÑO."	29/05/2024	47/2024	AVILA, BEATRIZ LUISA	DE EDUCACIÓN Y CULTURA				
939	2024	PD	S	"AVILA: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERÉS LA ""PRE CUMBRE MUNDIAL DE POLÍTICAS PÚBLICAS. CAPITULO TUCUMÁN"", A REALIZARSE EN LA CDAD. DE SAN MIGUEL DE TUCUMÁN EL 18 Y 19 DE JUNIO DE 2024."	29/05/2024	47/2024	AVILA, BEATRIZ LUISA	DE EDUCACIÓN Y CULTURA				
938	2024	PL	S	AVILA: PROYECTO DE LEY QUE ENTREGA AL MUNICIPIO DE SAN MIGUEL DE TUCUMAN EL ESTANDARTE Y BANDERAS REALISTAS TOMADAS EN LA BATALLA DE TUCUMAN.	29/05/2024	47/2024	AVILA, BEATRIZ LUISA	DE EDUCACIÓN Y CULTURA				
937	2024	PL	S	AVILA: PROYECTO DE LEY QUE RESTITUYE AL MUNICIPIO DE SAN MIGUEL DE TUCUMAN EL BASTON DE CAÑA DE LA INDIA DEL CONGRESAL DR. JOSE IGNACIO DE THAMES.	29/05/2024	47/2024	AVILA, BEATRIZ LUISA	DE EDUCACIÓN Y CULTURA				
936	2024	PL	S	PILATTI VERGARA Y OTROS: PROYECTO DE LEY QUE CREA EL PLAN NACIONAL DE ALIMENTACION ESCOLAR CON EL OBJETO DE GARANTIZAR LA ALIMENTACION SALUDABLE DE TODOS LOS NIÑOS, NIÑAS Y ADOLESCENTES QUE ASISTEN A ESTABLECIMIENTOS EDUCATIVOS DE NIVEL INICIAL Y PRIMARIO.	29/05/2024	47/2024	CORPACCI, LUCÍA BENIGNA	DE SALUD	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA		
935	2024	PL	S	LEAVY Y OTROS: PROYECTO DE LEY SOBRE ORGANIZACIÓN DE POLITICAS PUBLICAS DE LUCHA CONTRA LA CORRUPCION Y CONFLICTO DE INTERES.	29/05/2024	46/2024	LÓPEZ, CÁNDIDA CRISTINA	DE ASUNTOS CONSTITUCIONALES	DE ASUNTOS ADMINISTRATIVOS Y MUNICIPALES	DE JUSTICIA Y ASUNTOS PENALES		
934	2024	PR	S	LEAVY Y OTROS: PROYECTO DE RESOLUCION QUE MODIFICA EL ART. 60 DEL REGLAMENTO DE LA CAMARA DE SENADORES DE LA NACION, POR EL QUE SE CREA LA COMISION DE LOS PUEBLOS INDIGENAS.	29/05/2024	46/2024	LÓPEZ, CÁNDIDA CRISTINA	DE ASUNTOS CONSTITUCIONALES				
933	2024	PR	S	"LEAVY Y OTROS: PROYECTO DE RESOLUCION QUE DISPONE INSTITUIR ""LA SEMANA DE LA CONSTITUCION NACIONAL DE 1994"", DEL 15 AL 22 DE AGOSTO DE 2024 EN EL AMBITO DEL SENADO DE LA NACION."	29/05/2024	46/2024	LÓPEZ, CÁNDIDA CRISTINA	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA			
932	2024	PD	S	ARRASCAETA: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERÉS LAS          21° JORNADAS FEDERALES DE POLÍTICA, ECONOMÍA Y GESTIÓN DE MEDICAMENTOS Y  OTROS EVENTOS AFINES, A REALIZARSE EN LA CIUDAD DE CÓRDOBA, EL  30 Y 31 DE MAYO DE 2024.	29/05/2024	46/2024	ARRASCAETA, IVANNA MARCELA	DE SALUD				
931	2024	PC	S	GIMENEZ: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORMES RELACIONADOS A LOS VIAJES AL EXTERIOR REALIZADOS POR EL PRESIDENTE DE LA NACION, DURANTE EL AÑO 2024.	29/05/2024	46/2024		DE ASUNTOS CONSTITUCIONALES				
930	2024	PC	S	GIMENEZ: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORMES RELACIONADOS CON LA POLITICA ALIMENTARIA EN TODO EL TERRITORIO NACIONAL, EN EL MARCO DE LA LEY 27.701.	29/05/2024	46/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
929	2024	PD	S	GIMENEZ: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACION Y REPUDIA LA FALTA DE ENTREGA Y DISTRIBUCION DE ALIMENTOS, PARA EL ABASTECIMIENTO DE COMEDORES Y MERENDEROS COMUNITARIOS.	29/05/2024	46/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
928	2024	PD	S	"GIMENEZ: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO AL CUMPLIRSE 55 AÑOS DEL ""SALTEÑAZO"", OCURRIDO EN LA CDAD. DE SALTA, PROV. HOMONIMA, ENTRE EL 21 Y 25 DE MAYO DE 2024."	29/05/2024	46/2024		DE EDUCACIÓN Y CULTURA				
925	2024	PD	S	GIMENEZ: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACION POR LA FALTA DE COLABORACION DEL MINISTERIO DE SEGURIDAD DE LA NACION, FRENTE AL PEDIDO DE INFORMACION DE LA CONADI, Y EL DESCONOCIMIENTO DE LA LEY 25.457.	29/05/2024	46/2024		DE SEGURIDAD INTERIOR Y NARCOTRÁFICO				
924	2024	PC	S	PILATTI VERGARA: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS, RESPECTO A LOS DATOS REVELADOS EN EL OPERATIVO CENSAL DEL AÑO 2022.	28/05/2024	46/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
923	2024	PC	S	KIRCHNER: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSAS CUESTIONES RELATIVAS A LA ALIMENTACION DE LOS SECTORES MAS VULNERABLES.	28/05/2024	46/2024	KIRCHNER, ALICIA MARGARITA ANTONIA - CORPACCI, LUCÍA BENIGNA - MOISES, MARÍA CAROLINA - LÓPEZ, CÁNDIDA CRISTINA - GIMÉNEZ NAVARRO, MARÍA CELESTE - REJAL, JESÚS FERNANDO - FERNÁNDEZ SAGASTI, ANABEL	DE POBLACIÓN Y DESARROLLO  HUMANO				
922	2024	PD	S	HUALA: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR LA OBTENCION DE LA MEDALLA DE ORO EN LA FERIA INTERNACIONAL DE INFOMATRIX IBEROAMERICANA 2024, POR ALUMNOS DE LA ESCUELA PROV. DE EDUCACION TEC. N° 6, DE LA LOC. DE REALICO, PROV. DE LA PAMPA, EN GUADALAJARA, MEXICO. DEL 20 AL 23 DE MAYO.	28/05/2024	46/2024	HUALA, MARÍA VICTORIA	DE EDUCACIÓN Y CULTURA				
921	2024	PD	S	DURE: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR LA SEMANA MUNDIAL DEL PARTO RESPETADO, A CELEBRARSE DEL 13 AL 19 DE MAYO DE 2024.	28/05/2024	46/2024		DE SALUD				
920	2024	PL	S	DURE: PROYECTO DE LEY SOBRE PROHIBICIÓN DE PUBLICIDAD DE JUEGOS DE APUESTAS ONLINE- PREVENCIÓN DE LA LUDOPATÍA.	28/05/2024	46/2024		DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
918	2024	PC	S	GARCIA LARRABURU Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS RELACIONADOS CON LA MERCADERÍA GUARDADA Y CERCANA A VENCER, DESTINADA A LOS COMEDORES Y MERENDEROS DONDE ASITEN PERSONAS EN SITUACION DE VULNERABILIDAD.	28/05/2024	46/2024	LÓPEZ, CÁNDIDA CRISTINA	DE POBLACIÓN Y DESARROLLO  HUMANO				
916	2024	PD	S	"GARCIA LARRABURU Y LINARES: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERÉS EL DOCUMENTAL ""EL TURBIO"", DE LA PRODUCTORA DESEMBOQUE AUDIOVISUAL."	28/05/2024	46/2024	LINARES, CARLOS ALBERTO	DE EDUCACIÓN Y CULTURA				
914	2024	PD	S	MONTENEGRO: PROYECTO DE DECLARACION QUE EXPRESA RECHAZO Y PREOCUPACION POR LA DECISION DE INTERRUMPIR LOS JUEGOS EVITA A NIVEL NACIONAL, Y OTRAS CUESTIONES CONEXAS.	28/05/2024	45/2024		DE DEPORTE				
913	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACION QUE ADHIERE AL ""DIA INTERNACIONAL DE LOS NIÑOS INOCENTES VICTIMAS DE AGRESION"", A CONMEMORARSE EL 4 DE JUNIO DE 2024."	28/05/2024	45/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
912	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR LA CONMEMORACION DE LOS 144 AÑOS DE LA CREACION DE ""LA CRUZ ROJA ARGENTINA"", EL 10 DE JUNIO DE 2024."	28/05/2024	45/2024		DE EDUCACIÓN Y CULTURA				
911	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLÁCITO POR LA CONMEMORACIÓN DEL 71° ANIVERSARIO DE LA ASUNCIÓN DE FELIPE GALLARDO, PRIMER GOBERNADOR CONSTITUCIONAL DE LA PROV. DEL CHACO, EL 4 DE JUNIO DE 2024.	28/05/2024	45/2024		DE EDUCACIÓN Y CULTURA				
905	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLACITO POR LA CONMEMORACIÓN DEL DIA NACIONAL DEL BOMBERO VOLUNTARIO, EL 2 DE JUNIO DE 2024.	28/05/2024	45/2024		DE EDUCACIÓN Y CULTURA				
902	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLACITO POR LA CONMEMORACIÓN DEL ""40° ANIVERSARIO DEL INSTITUTO DE EDUCACION SUPERIOR PAMPA DEL INFIERNO"", DE LA PROV. DEL CHACO, EL 29 DE MAYO DE 2024."	28/05/2024	45/2024		DE EDUCACIÓN Y CULTURA				
900	2024	PL	S	ABDALA: PROYECTO DE LEY QUE DECLARA POBLADO HISTORICO NACIONAL EN LOS TÉRMINOS DE LA LEY 12.665, A LA LOCALIDAD DE RENCA, DEPARTAMENTO CHACABUCO, PROV. DE SAN LUIS.	27/05/2024	45/2024	ABDALA, BARTOLOMÉ ESTEBAN	DE EDUCACIÓN Y CULTURA				
894	2024	PD	S	MOISES: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACION POR EL DESFINANCIAMIENTO Y PAUSA DE LA CONSTRUCCION Y DISEÑO DEL REACTOR MODULAR DENOMINADO CAREM-25, PROYECTO DE LA COMISION NACIONAL DE ENERGIA ATOMICA, EL 30 DE ABRIL DE 2024.	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - KIRCHNER, ALICIA MARGARITA ANTONIA - GONZÁLEZ, MARÍA TERESA MARGARITA - CORPACCI, LUCÍA BENIGNA - LÓPEZ, CÁNDIDA CRISTINA - GIMÉNEZ NAVARRO, MARÍA CELESTE - REJAL, JESÚS FERNANDO	DE CIENCIA Y TECNOLOGÍA				
893	2024	PD	S	"MOISES: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL VIGESIMO QUINTO ANIVERSARIO DE LA ESCUELA PRIMARIA N° 443 ""DR. ROBERTO RUBEN DOMINGUEZ, DE LA CDAD. DE SAN PEDRO DE JUJUY, PROV. DE JUJUY, EL 29 DE ABRIL DE 2024."	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - GONZÁLEZ, MARÍA TERESA MARGARITA - MENDOZA, SANDRA MARIELA - LÓPEZ, CÁNDIDA CRISTINA	DE EDUCACIÓN Y CULTURA				
892	2024	PL	S	MOISES: PROYECTO DE LEY QUE INCORPORA COMO CONTENIDO CURRICULAR LOS CONCEPTOS DE PROTECCIÓN DE DATOS, GROOMING, CIBERBULLYING, PHISHING, CIBERACOSO, CONCIENCIA DIGITAL, IDENTIDAD DIGITAL, SALUD DIGITAL Y PRIVACIDAD ONLINE A LA LEY NACIONAL DE EDUCACIÓN 26.206.	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - GONZÁLEZ, MARÍA TERESA MARGARITA - CORPACCI, LUCÍA BENIGNA - MENDOZA, SANDRA MARIELA - LÓPEZ, CÁNDIDA CRISTINA - REJAL, JESÚS FERNANDO - KIRCHNER, ALICIA MARGARITA ANTONIA	DE EDUCACIÓN Y CULTURA	DE POBLACIÓN Y DESARROLLO  HUMANO			
891	2024	PL	S	MOISES: PROYECTO DE LEY DE PUBLICIDAD DE OPERADORES DE JUEGOS Y PLATAFORMAS DE APUESTAS PARA LOS JUEGOS EN LÍNEA.	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - GONZÁLEZ, MARÍA TERESA MARGARITA - LÓPEZ, CÁNDIDA CRISTINA - REJAL, JESÚS FERNANDO	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
889	2024	PC	S	FAMA: REPRODUCE PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE LOS SISTEMAS DE NAVEGACION AEREA Y APROXIMACION AL AEROPUERTO CORONEL FELIPE VARELA DE LA PROV. DE CATAMARCA. (REF. S. 1506/22)	23/05/2024	44/2024	FAMA, FLAVIO SERGIO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
886	2024	PL	S	HUALA: REPRODUCE PROYECTO DE LEY SOBRE IMPLEMENTACIÓN OBLIGATORIA DE ACTIVIDADES DE APROXIMACIÓN AL MUNDO DEL TRABAJO EN TODOS LOS ESTABLECIMIENTOS EDUCATIVOS DE NIVEL SECUNDARIO DE GESTIÓN ESTATAL Y PRIVADA DEL PAÍS. (REF. S. 1442/22)	22/05/2024	44/2024	HUALA, MARÍA VICTORIA	DE EDUCACIÓN Y CULTURA	DE TRABAJO Y PREVISIÓN SOCIAL			
884	2024	PC	S	LEWANDOWSKI: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS RELACIONADOS A LA HIDROVIA PARAGUAY - PARANA.	22/05/2024	44/2024	LEWANDOWSKI, MARCELO NÉSTOR	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
881	2024	PD	S	GARCIA LARRABURU: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERES LAS ACTIVIDADES QUE REALIZA EL GRUPO DE TEATRO Y LA ASOCIACIÓN CIVIL EL BROTE, EN SAN CARLOS DE BARILOCHE, PROV. DE RIO NEGRO.	22/05/2024	44/2024		DE EDUCACIÓN Y CULTURA				
880	2024	PL	S	LEAVY Y OTROS: PROYECTO DE LEY SOBRE INCLUSION DEL CERTIFICADO UNICO DE DISCAPACIDAD (CUD) AL SISTEMA DIGITAL UTILIZADO PARA ACCESO AL TRANSPORTE PUBLICO DE PASAJEROS.	22/05/2024	44/2024	CORPACCI, LUCÍA BENIGNA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE POBLACIÓN Y DESARROLLO  HUMANO			
879	2024	PL	S	BENSUSAN: PROYECTO DE LEY QUE CREA EL PROGAMA NACIONAL DE SALUD MENTAL PARA ADOLESCENTES.	22/05/2024	44/2024	BENSUSÁN, DANIEL PABLO	DE SALUD	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA		
877	2024	PL	S	PARRILLI Y OTROS: PROYECTO DE LEY SOBRE PLAN NACIONAL DE PREVENCIÓN DEL EMBARAZO NO INTENCIONAL EN LA ADOLESCENCIA.	22/05/2024	44/2024	MOISES, MARÍA CAROLINA	DE SALUD	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA		
876	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR LA 21° EDICIÓN DE LA EXPO AGRONEA, A REALIZARSE EN LA LOC. CHAQUEÑA DE CHARATA, DEL 28 AL 30 DE JUNIO DE 2024.	22/05/2024	44/2024		DE AGRICULTURA, GANADERÍA Y PESCA				
875	2024	PD	S	"ABAD: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL RECONOCIMIENTO AL MURAL ""MENSAJERAS"", REALIZADO POR EL GRUPO SISMO EN LA CDAD. DE MAR DEL PLATA."	21/05/2024	44/2024	ABAD, MAXIMILIANO	DE EDUCACIÓN Y CULTURA				
873	2024	PD	S	GIMENEZ: PROYECTO DE DECLARACION QUE EXPRESA PESAR POR EL FALLECIMIENTO DE ABEL PEDRO MADARIAGA, SECRETARIO DE ABUELAS DE PLAZA DE MAYO, EL 5 DE MARZO DE 2024.	21/05/2024	43/2024		DE EDUCACIÓN Y CULTURA				
870	2024	PD	S	"GARCIA LARRABURU Y OTROS: PROYECTO DE DECLARACIÓN QUE REPUDIA LAS DECLARACIONES DEL PRESIDENTE DE LA NACIÓN, JAVIER MILEI, SOBRE LA ESPOSA DEL PRESIDENTE DE ESPAÑA PEDRO SANCHEZ, DURANTE EL ACTO ""EUROPA VIVA 2024"", EL 19 DE MAYO."	21/05/2024	43/2024	KIRCHNER, ALICIA MARGARITA ANTONIA	DE ASUNTOS CONSTITUCIONALES				
867	2024	PC	S	BLANCO: PROYECTO DE COMUNICACIÓN QUE CITA A LA MINISTRA DE RR.EE Y CULTO DIANA MONDINO, EN LOS TÉRMINOS DEL ART. 71 DE LA C.N., A FIN DE BRINDAR INFORMES SOBRE EL CONFLICTO DIPLOMÁTICO DESATADO CON EL REINO DE ESPAÑA A RAÍZ DE DECLARACIONES PÚBLICAS REALIZADAS POR EL PRESIDENTE DE LA NACIÓN.	21/05/2024	43/2024		DE ASUNTOS CONSTITUCIONALES	DE RELACIONES EXTERIORES Y CULTO			
864	2024	PC	S	LEDESMA ABDALA Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA SE DEJE SIN EFECTO LA RESOLUCION N° 4/2024 DE LA SECRETARIA DE TRANSPORTE, Y ESTABLEZCA UN ESQUEMA EQUITATIVO Y FEDERAL DE SUBSIDIOS PARA EL TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR AUTOMOTOR DE TODO EL PAÍS.	21/05/2024	43/2024	NEDER, JOSÉ EMILIO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
862	2024	PL	S	"VALENZUELA: PROYECTO DE LEY QUE DECLARA CON CARACTER NACIONAL LA ""FIESTA DE ARTESANIAS TRADICIONALES ARANDU PO"", A CELEBRARSE EN LA LOC. DE EMPEDRADO, PROV. DE CORRIENTES, DURANTE EL MES DE MAYO DE CADA AÑO."	21/05/2024	43/2024	VALENZUELA, MERCEDES GABRIELA	DE EDUCACIÓN Y CULTURA	DE EDUCACIÓN Y CULTURA			
858	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACION QUE EXPRESA RECONOCIMIENTO AL EQUIPO DE PROGRAMACIÓN EXACTAS-UBA, CORONADO CAMPEON LATINOAMERICANO EN LA FINAL DE LA COMPETENCIA INTERNACIONAL DE PROGRAMACIÓN ICPC, REALIZADO EN LUXOR, EGIPTO, DEL 14 AL 19 DE ABRIL DE 2024.	21/05/2024	43/2024		DE EDUCACIÓN Y CULTURA				
855	2024	PD	S	ABAD: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACION Y RECHAZA LAS MANIFESTACIONES VERTIDAS POR EL PRESIDENTE EN EL EVENTO EUROPA VIVA 24, EL 19 DE MAYO DE 2024.	20/05/2024	43/2024	ABAD, MAXIMILIANO	DE ASUNTOS CONSTITUCIONALES				
854	2024	PC	S	ZIMMERMANN: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME A TRAVÉS DE LA SUPERINTENDENCIA DE SEGUROS DE LA NACIÓN, RESPECTO A LA RES. 217/2024, LA CUAL MODIFICA EL REGLAMENTO GENERAL DE LA ACTIVIDAD ASEGURADORA.	20/05/2024	42/2024		DE ECONOMÍA NACIONAL E INVERSIÓN				
853	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE ADHIERE AL ""DIA INTERNACIONAL DE LOS MUSEOS"", EL 18 DE MAYO DE 2024."	20/05/2024	42/2024		DE EDUCACIÓN Y CULTURA				
852	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLÁCITO POR LA REALIZACIÓN DEL XXIV CONGRESO ARGENTINO DE OTORRINOLARINGOLOGÍA Y FONOAUDIOLOGÍA PEDIÁTRICA Y OTROS EVENTOS AFINES, A REALIZARSE EN CABA DEL 24 AL 26 DE MAYO DE 2024.	20/05/2024	42/2024		DE SALUD				
849	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE ADHIERE AL ""DIA MUNDIAL DE LA DIVERSIDAD CULTURAL PARA EL DIALOGO Y EL DESARROLLO"", QUE SE CONMEMORA EL 21 DE MAYO DE CADA AÑO."	20/05/2024	42/2024		DE EDUCACIÓN Y CULTURA				
846	2024	PC	S	PILATTI VERGARA: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS RELACIONADOS CON EL VIAJE DEL SEÑOR PRESIDENTE DE LA NACION JAVIER GERARDO MILEI Y SU COMITIVA A ESPAÑA, DEL 16 AL 20 DE MAYO DE 2024.	17/05/2024	42/2024		DE ASUNTOS CONSTITUCIONALES				
845	2024	PC	S	GADANO Y CARAMBIA: PROYECTO DE COMUNICACIÓN QUE SOLICITA MANTENER EL PLENO FUNCIONAMIENTO DE LAS SUCURSALES DEL BANCO DE LA NACIÓN ARGENTINA, UBICADAS EN LOS MUNICIPIOS DE VEINTIOCHO DE NOVIEMBRE Y PUERTO SANTA CRUZ, PROV. HOMÓNIMA, Y OTRAS CUESTIONES CONEXAS.	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE ECONOMÍA NACIONAL E INVERSIÓN				
844	2024	PL	S	"GADANO Y CARAMBIA: PROYECTO DE LEY QUE DESIGNA CON EL NOMBRE DE ""LIVIO DANTE PORTA"", AL TRAMO DE LA RUTA NACIONAL N° 40 DEL KILÓMETRO 394 Y 374 EN LA LOC. DE VEINTIOCHO DE NOVIEMBRE, DE LA PROV. DE SANTA CRUZ."	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE PRESUPUESTO Y HACIENDA			
